X,Y,Z,ID,TOF,TIME
0.1233,-1.1897,2.0467,1,471,116
2.3981,-0.2699,1.7824,0,1296,444
3.4307,1.7412,1.2212,1,1241,592
1.8636,0.6197,1.5390,0,1294,921
2.0536,2.1577,1.1144,1,1246,1069
1.2400,1.2696,1.3666,0,1293,1397
1.1589,2.1452,1.1269,1,1237,1547
0.7832,1.6111,1.2779,0,1293,1873
0.6802,2.0935,1.1479,1,1242,2021
0.4949,1.7841,1.2335,0,1293,2350
0.4210,2.0466,1.1615,1,1246,2498
0.3420,1.9022,1.2032,0,1303,2826
0.3096,2.0040,1.1777,1,1242,2973
0.2734,1.9350,1.1996,0,1302,3302
0.2554,1.9964,1.1837,1,1245,3450
0.2273,1.9409,1.1984,0,1298,3779
0.2223,1.9554,1.1956,1,1236,3928
0.2066,1.9215,1.2049,0,1290,4255
0.1925,1.9637,1.1965,1,1240,4403
0.1814,1.9467,1.2017,0,1294,4731
-1.1283,5.6838,0.1983,1,2428,4879
-1.3792,2.3649,1.0978,0,1301,5208
-3.0422,4.8065,0.4422,1,2436,5356
-2.5336,2.2731,1.1280,0,1292,5684
-1.3642,1.0662,1.4517,1,1240,5831
-1.2266,2.3230,1.1155,2,1291,5980
-1.4375,2.3224,0.9630,0,640,6160
-0.8279,1.4545,1.2246,1,1242,6309
-0.6372,2.2004,0.9990,0,1297,6636
-0.3670,1.6925,1.1532,1,1236,6785
-0.2178,2.1002,1.0299,0,1302,7113
-0.0981,1.8263,1.1147,1,1241,7261
-0.0176,2.0166,1.0604,0,1298,7589
0.0442,1.8663,1.1066,1,1236,7738
0.0824,1.9570,1.0827,0,1293,8066
0.0939,1.9288,1.0912,1,1248,8213
0.1113,1.9722,1.0799,0,1301,8542
0.1352,1.9064,1.1005,1,1238,8691
0.1573,1.9573,1.0879,0,1302,9018
0.1679,1.9347,1.0959,1,1243,9166
0.1651,1.9320,1.0987,0,1295,9494
0.1692,1.9192,1.1047,1,1238,9643
0.1682,1.9156,1.1067,0,1291,9970
0.1670,1.9254,1.1029,1,1240,10119
0.1710,1.9349,1.1022,2,1296,10268
0.0488,1.6312,0.2356,0,630,10447
0.0885,1.5412,0.2852,1,1238,10596
0.1177,1.5971,0.2532,0,1296,10924
0.1261,1.5765,0.2640,1,1246,11072
0.1409,1.6117,0.2468,2,1303,11220
0.1374,1.5993,0.2109,0,637,11400
-1.1766,4.9012,-1.6935,1,2434,11548
-1.4071,1.9083,0.0398,0,1296,11876
-0.8170,1.1460,0.4819,1,1243,12023
-0.6324,1.7945,0.1087,0,1292,12352
-0.3759,1.3571,0.3601,1,1239,12500
-0.2391,1.7010,0.1614,2,1295,12648
-0.2136,1.7297,0.2540,0,631,12828
-0.1092,1.5169,0.3711,1,1243,12977
-0.0232,1.7083,0.2676,2,1304,13126
-0.0336,1.6879,0.2011,0,638,13304
0.0412,1.5159,0.2984,1,1235,13454
0.0879,1.6132,0.2472,0,1297,13782
0.1105,1.5582,0.2804,1,1241,13930
0.1336,1.6062,0.2544,2,1301,14078
0.1330,1.6010,0.2377,0,630,14258
0.1455,1.5709,0.2544,1,1244,14405
0.1573,1.5956,0.2394,2,1302,14554
0.1554,1.5791,0.1961,0,643,14734
0.1646,1.5594,0.2084,1,1246,14881
0.1620,1.5607,0.2084,0,1299,15210
0.1679,1.5510,0.2133,1,1243,15358
0.1666,1.5482,0.2176,2,1296,15507
0.1677,1.5500,0.2230,0,638,15686
0.1701,1.5497,0.2251,1,1241,15835
0.1552,1.5231,0.2437,2,1285,15984
0.1551,1.5241,0.2425,0,636,16162
0.1443,1.5566,0.2229,1,1245,16312
0.1429,1.5588,0.2236,2,1295,16460
0.1460,1.5686,0.2485,0,630,16638
0.1466,1.5681,0.2517,1,1243,16787
0.1531,1.5830,0.2441,0,1299,17116
0.1627,1.5639,0.2565,1,1240,17263
0.1766,1.5893,0.2424,2,1303,17411
0.1740,1.5773,0.2089,0,639,17592
0.1807,1.5595,0.2176,1,1243,17739
0.1841,1.5643,0.2171,0,1302,18068
0.1806,1.5750,0.2111,1,1247,18217
0.1680,1.5553,0.2249,2,1297,18366
0.1685,1.5581,0.2304,0,635,18544
0.1712,1.5554,0.2352,1,1240,18694
0.1710,1.5571,0.2354,0,1296,19020
0.1723,1.5526,0.2369,1,1239,19169
0.1755,1.5571,0.2354,2,1296,19318
0.1762,1.5510,0.2198,0,639,19496
0.1764,1.5595,0.2176,1,1243,19644
0.1825,1.5741,0.2095,0,1304,19973
0.1903,1.5610,0.2192,1,1242,20121
