X,Y,Z,ID,TOF,TIME
1.4503,-1.7328,2.4802,1,93,441
1.6008,-1.7259,2.4899,0,966,769
2.1069,0.1151,4.7059,1,947,918
0.8578,-0.5578,3.9016,0,972,1246
0.5576,0.0437,4.6279,1,947,1394
0.2629,-0.2148,4.3165,0,968,1722
0.1556,-0.0702,4.4926,1,942,1869
0.0980,-0.1273,4.4229,0,974,2198
0.0671,-0.0863,4.4720,1,947,2347
0.0318,-0.1241,4.4260,0,965,2674
0.0151,-0.1025,4.4525,1,947,2823
0.0071,-0.1123,4.4415,0,966,3150
0.0102,-0.1186,4.4344,1,942,3300
0.0243,-0.1043,4.4517,0,972,3627
0.0296,-0.1121,4.4441,1,942,3775
0.0290,-0.1133,4.4416,0,969,4103
0.0184,-0.0987,4.4604,1,949,4251
0.0090,-0.1066,4.4483,0,969,4579
0.0086,-0.1058,4.4493,1,947,4727
0.0090,-0.1066,4.4483,0,969,5056
0.0151,-0.1135,4.4400,1,943,5203
0.0243,-0.1043,4.4517,0,972,5532
0.0184,-0.0987,4.4604,1,949,5681
0.0073,-0.1085,4.4460,0,968,6008
0.0054,-0.1058,4.4493,1,947,6158
0.0004,-0.1090,4.4448,0,966,6484
0.0038,-0.1148,4.4391,1,944,6632
0.0106,-0.1085,4.4460,0,968,6961
-0.0060,-0.0884,4.4702,0,956,7437
0.0054,-0.1019,4.4539,1,949,7584
0.0041,-0.1014,4.4539,0,970,7913
0.0037,-0.1000,4.4563,1,950,8062
0.0041,-0.1014,4.4539,0,970,8389
0.0183,-0.1173,4.4353,1,941,8539
0.0259,-0.1095,4.4461,0,971,8866
0.0152,-0.0948,4.4651,1,951,9014
-0.0048,-0.1179,4.4380,0,963,9342
-0.0109,-0.1084,4.4474,1,949,9490
-0.0217,-0.1189,4.4323,0,959,9819
-0.0189,-0.1213,4.4293,1,944,9967
0.0008,-0.1014,4.4539,0,970,10295
0.0102,-0.1115,4.4423,1,944,10443
0.0212,-0.0972,4.4596,0,974,10771
0.0345,-0.1108,4.4418,1,941,10920
0.0145,-0.1320,4.4158,0,959,11247
0.0054,-0.1205,4.4289,1,941,11395
0.0086,-0.1142,4.4359,0,965,11723
-0.0028,-0.1000,4.4530,1,950,11872
-0.0008,-0.0962,4.4595,0,971,12199
0.0054,-0.1019,4.4539,1,949,12348
-0.0116,-0.1184,4.4335,0,961,12677
-0.0043,-0.1238,4.4257,0,941,13153
-0.0207,-0.1046,4.4488,1,951,13301
-0.0055,-0.0872,4.4696,0,974,13629
0.0070,-0.1038,4.4516,1,948,13777
-0.0031,-0.1127,4.4403,0,964,14105
-0.0028,-0.1109,4.4405,0,946,14581
0.0022,-0.1167,4.4335,1,943,14730
0.0124,-0.1066,4.4483,0,969,15057
0.0199,-0.1154,4.4377,0,942,15534
0.0070,-0.1000,4.4563,1,950,15683
0.0112,-0.0939,4.4629,0,974,16010
0.0135,-0.0967,4.4595,1,950,16158
0.0040,-0.1052,4.4493,0,968,16487
0.0037,-0.1038,4.4516,0,948,16963
0.0037,-0.1038,4.4516,1,948,17111
0.0024,-0.1033,4.4516,0,969,17439
0.0200,-0.1231,4.4284,1,938,17589
0.0219,-0.1208,4.4293,0,965,17915
0.0151,-0.1135,4.4400,0,943,18392
0.0070,-0.1038,4.4516,0,948,18868
0.0119,-0.1096,4.4446,1,945,19016
0.0071,-0.1123,4.4415,0,966,19344
0.0102,-0.1186,4.4344,0,942,19820
0.0086,-0.1167,4.4367,0,943,20297
0.0168,-0.1263,4.4251,1,938,20446
0.0219,-0.1208,4.4326,0,965,20773
0.0037,-0.1000,4.4563,1,950,20921
-0.0011,-0.1071,4.4471,0,967,21250
0.0054,-0.1167,4.4367,1,943,21398
0.0071,-0.1123,4.4415,0,966,21726
0.0086,-0.1167,4.4367,0,943,22202
0.0135,-0.1225,4.4298,1,940,22351
0.0099,-0.1264,4.4259,0,962,22678
0.0071,-0.1225,4.4298,1,940,22828
0.0172,-0.1118,4.4427,0,968,23154
0.0086,-0.1019,4.4572,1,949,23303
0.0022,-0.1104,4.4471,0,967,23630
0.0021,-0.1090,4.4493,1,947,23779
0.0092,-0.1029,4.4561,0,971,24108
0.0199,-0.1154,4.4409,0,942,24584
0.0151,-0.1096,4.4479,1,945,24732
0.0033,-0.1231,4.4325,0,962,25060
0.0038,-0.1218,4.4344,0,942,25536
0.0087,-0.1276,4.4275,0,939,26012
0.0120,-0.1314,4.4228,0,937,26488
-0.0077,-0.1084,4.4507,0,949,26964
0.0005,-0.1180,4.4391,1,944,27113
0.0055,-0.1137,4.4471,0,967,27441
0.0184,-0.1314,4.4260,1,937,27590
0.0305,-0.1218,4.4394,0,968,27918
0.0184,-0.1058,4.4590,1,947,28065
0.0124,-0.1133,4.4516,0,969,28394
0.0167,-0.1180,4.4488,1,944,28541
0.0172,-0.1185,4.4493,0,968,28870
0.0167,-0.1180,4.4488,1,944,29019
0.0172,-0.1185,4.4493,0,968,29346
0.0199,-0.1218,4.4441,1,942,29494
0.0082,-0.1349,4.4302,0,961,29822
0.0038,-0.1283,4.4377,1,942,29972
0.0175,-0.1147,4.4539,0,970,30299
0.0264,-0.1257,4.4427,1,940,30447
0.0236,-0.1288,4.4415,0,966,30775
0.0086,-0.1117,4.4637,1,949,30923
0.0004,-0.1222,4.4514,0,966,31251
-0.0011,-0.1187,4.4558,1,947,31399
0.0041,-0.1114,4.4639,0,970,31728
0.0135,-0.1213,4.4520,1,944,31876
0.0121,-0.1237,4.4504,0,967,32204
0.0216,-0.1340,4.4403,1,939,32353
0.0183,-0.1377,4.4380,0,963,32680
-0.0012,-0.1144,4.4684,1,951,32829
0.0010,-0.1110,4.4751,0,972,33157
0.0216,-0.1373,4.4436,1,939,33304
0.0272,-0.1318,4.4493,0,968,33633
0.0119,-0.1149,4.4702,1,949,33781
0.0092,-0.1162,4.4695,0,971,34109
0.0167,-0.1245,4.4585,1,944,34257
0.0227,-0.1158,4.4674,0,973,34585
0.0264,-0.1213,4.4617,1,944,34735
0.0223,-0.1266,4.4549,0,969,35061
0.0151,-0.1187,4.4655,0,947,35538
0.0135,-0.1168,4.4679,1,948,35686
0.0038,-0.1288,4.4548,0,966,36015
0.0102,-0.1348,4.4474,1,942,36162
0.0243,-0.1210,4.4651,0,972,36491
0.0248,-0.1226,4.4641,0,945,36967
0.0248,-0.1226,4.4641,1,945,37115
0.0137,-0.1321,4.4514,0,966,37443
0.0086,-0.1258,4.4576,1,945,37592
0.0124,-0.1233,4.4616,0,969,37919
0.0167,-0.1277,4.4585,1,944,38068
0.0172,-0.1284,4.4560,0,968,38395
0.0232,-0.1353,4.4491,1,940,38544
0.0165,-0.1429,4.4391,0,962,38872
0.0135,-0.1386,4.4459,0,940,39349
0.0021,-0.1252,4.4623,1,947,39497
0.0040,-0.1251,4.4626,0,968,39825
0.0054,-0.1252,4.4623,1,947,39972
0.0040,-0.1251,4.4626,0,968,40301
0.0070,-0.1271,4.4599,1,946,40450
0.0196,-0.1121,4.4786,0,975,40777
0.0281,-0.1226,4.4673,1,945,40925
0.0188,-0.1336,4.4537,0,967,41253
0.0135,-0.1271,4.4632,1,946,41402
3.6671,3.7273,9.1862,0,3042,41730
2.2897,0.0601,4.6884,1,944,41879
0.9131,-0.6284,3.8467,0,969,42206
0.6003,0.0130,4.6394,1,940,42355
0.2998,-0.2393,4.3272,0,973,42682
0.1876,-0.0870,4.5168,0,940,43159
0.1876,-0.0870,4.5168,1,940,43308
0.1091,-0.1628,4.4228,0,971,43635
0.0591,-0.1032,4.4986,1,950,43783
0.0379,-0.1273,4.4696,0,974,44111
0.0313,-0.1220,4.4785,1,947,44261
0.0119,-0.1406,4.4558,0,965,44588
0.0086,-0.1355,4.4641,1,945,44736
0.0106,-0.1351,4.4660,0,968,45064
0.0102,-0.1336,4.4697,1,946,45212
0.0002,-0.1425,4.4601,0,964,45540
0.0054,-0.1496,4.4515,1,941,45688
0.0031,-0.1532,4.4477,0,960,46016
-0.0044,-0.1420,4.4608,0,945,46492
0.0006,-0.1477,4.4538,1,942,46642
0.0106,-0.1351,4.4693,0,968,46969
0.0216,-0.1469,4.4532,1,939,47118
0.0308,-0.1380,4.4639,0,970,47446
0.0345,-0.1437,4.4597,1,939,47593
0.0356,-0.1432,4.4616,0,969,47922
0.0377,-0.1437,4.4597,0,939,48398
0.0216,-0.1247,4.4832,1,949,48545
0.0106,-0.1384,4.4693,0,968,48874
0.0183,-0.1463,4.4579,1,941,49024
0.0274,-0.1380,4.4672,0,970,49350
0.0232,-0.1304,4.4762,1,946,49500
0.0104,-0.1421,4.4614,0,966,49826
0.0054,-0.1350,4.4720,1,947,49975
-0.0083,-0.1480,4.4566,0,961,50302
-0.0158,-0.1396,4.4679,1,948,50451
-0.0111,-0.1336,4.4769,0,967,50780
-0.0044,-0.1415,4.4688,1,947,50928
0.0006,-0.1351,4.4759,0,968,51256
0.0119,-0.1496,4.4579,1,941,51404
0.0172,-0.1417,4.4660,0,968,51732
0.0167,-0.1407,4.4682,1,944,51881
0.0208,-0.1380,4.4738,0,970,52208
0.0280,-0.1463,4.4644,1,941,52356
0.0343,-0.1410,4.4717,0,972,52684
0.0377,-0.1431,4.4708,1,941,52833
0.0376,-0.1410,4.4717,0,972,53160
0.0393,-0.1450,4.4685,1,940,53309
0.0356,-0.1498,4.4649,0,969,53637
0.0345,-0.1463,4.4708,1,941,53786
0.0252,-0.1572,4.4591,0,965,54113
0.0264,-0.1585,4.4573,1,938,54262
0.0305,-0.1517,4.4660,0,968,54590
0.0167,-0.1363,4.4841,1,948,54738
0.0071,-0.1487,4.4713,0,966,55066
0.0037,-0.1466,4.4762,0,946,55542
0.0102,-0.1541,4.4667,1,942,55691
0.0192,-0.1428,4.4795,0,971,56018
0.0184,-0.1415,4.4818,1,947,56168
