X,Y,Z,ID,TOF,TIME
-3.1096,3.9912,1.1119,0,2221,499
-0.4166,0.5665,1.7686,1,936,647
-0.1837,1.0226,1.6820,2,982,795
-0.7059,-0.3121,1.1022,0,897,975
-0.8757,-0.1915,1.0173,1,941,1123
-0.4853,0.6389,0.4250,2,986,1271
-0.6229,0.3525,0.1146,0,897,1452
-0.2732,-0.0173,0.4575,1,930,1600
-0.0846,0.2353,0.2200,2,987,1750
-0.1008,0.1476,0.1345,0,899,1928
-0.0271,0.0557,0.2276,1,945,2076
0.0118,0.1038,0.1789,2,984,2225
-0.0619,-0.4317,-0.3177,0,1110,2404
0.0331,-0.5179,-0.1689,1,928,2551
0.0744,-0.4854,-0.2286,2,985,2701
0.0781,-0.4783,-0.2199,0,1097,2880
0.0779,-0.4802,-0.2207,1,938,3028
0.0813,-0.4757,-0.2269,2,987,3176
0.1253,0.0104,0.2036,0,908,3356
0.0941,0.0517,0.1610,1,940,3504
0.0863,0.0437,0.1713,2,986,3653
0.0904,0.0643,0.1900,0,899,3832
0.0846,0.0753,0.1791,1,942,3982
0.0869,0.0795,0.1756,2,992,4130
0.0862,0.0697,0.1653,0,903,4310
0.0893,0.0634,0.1716,1,941,4458
0.0793,0.0532,0.1823,2,984,4606
0.0783,0.0390,0.1701,0,909,4786
0.0716,0.0462,0.1597,1,942,4933
0.0766,0.0551,0.1527,2,990,5083
0.0809,0.0772,0.1754,0,900,5262
0.0830,0.0774,0.1769,1,943,5409
0.0851,0.0775,0.1743,2,991,5559
0.0890,0.0948,0.1915,0,893,5738
0.0895,0.0968,0.1899,1,943,5885
0.0723,0.0761,0.2101,2,982,6033
0.0707,0.0511,0.1870,0,903,6214
0.0652,0.0591,0.1791,1,942,6363
0.0569,0.0498,0.1895,2,979,6511
0.0617,0.0790,0.2153,0,892,6690
0.0603,0.0828,0.2104,1,941,6840
0.0571,0.0808,0.2122,2,981,6987
0.0562,0.0618,0.1939,0,900,7166
0.0681,0.0486,0.2095,1,934,7314
0.0811,0.0653,0.1937,2,985,7462
0.0800,0.0542,0.1839,0,903,7643
0.0764,0.0602,0.1781,1,941,7791
0.0815,0.0667,0.1718,2,989,7940
0.0851,0.0842,0.1877,0,896,8119
0.0954,0.0700,0.2041,1,935,8267
0.0892,0.0626,0.2135,2,982,8417
0.0901,0.0494,0.2032,0,900,8596
0.0796,0.0657,0.1889,1,939,8744
0.0867,0.0755,0.1798,2,990,8893
0.0876,0.0792,0.1831,0,898,9072
0.0940,0.0732,0.1911,1,938,9221
0.1006,0.0795,0.1824,2,992,9369
0.1020,0.0691,0.1707,0,902,9548
0.1084,0.0614,0.1772,1,937,9696
0.0980,0.0485,0.1903,2,985,9844
0.1004,0.0658,0.2061,0,896,10024
0.1017,0.0657,0.2053,1,933,10172
0.1053,0.0700,0.1989,2,989,10320
0.1063,0.0694,0.1977,0,897,10501
0.0927,0.0871,0.1802,1,943,10649
0.0885,0.0843,0.1845,2,991,10798
0.0888,0.0616,0.1638,0,905,10977
0.0909,0.0581,0.1674,1,940,11125
0.0829,0.0505,0.1747,2,986,11275
0.0868,0.0624,0.1854,0,901,11453
0.0953,0.0529,0.1957,1,933,11602
0.0746,0.0331,0.2168,2,974,11751
0.0792,0.0499,0.2330,0,895,11929
0.0603,0.0764,0.2039,1,941,12078
0.0571,0.0741,0.2055,2,981,12225
0.0543,0.0466,0.1801,0,906,12405
0.0554,0.0452,0.1803,1,940,12554
0.0589,0.0492,0.1764,2,982,12701
0.0611,0.0548,0.1816,0,904,12882
0.0634,0.0496,0.1857,1,939,13030
0.0602,0.0465,0.1895,2,979,13178
0.0639,0.0683,0.2115,0,895,13359
0.0618,0.0700,0.2104,1,938,13507
0.0656,0.0761,0.2067,2,982,13657
0.0636,0.0466,0.1801,0,906,13835
0.0619,0.0484,0.1803,1,940,13983
0.0658,0.0532,0.1756,2,984,14133
0.0691,0.0730,0.1923,0,898,14311
0.0731,0.0689,0.1954,1,939,14459
0.0708,0.0680,0.1979,2,983,14608
0.0728,0.0719,0.2030,0,896,14787
0.0606,0.0891,0.1844,1,947,14935
0.0539,0.0815,0.1945,2,983,15083
0.0537,0.0761,0.1892,0,898,15263
0.0571,0.0741,0.1931,1,943,15411
0.0537,0.0707,0.1954,2,981,15559
0.0525,0.0598,0.1862,0,902,15739
0.0443,0.0696,0.1746,1,947,15889
0.0526,0.0782,0.1637,2,988,16037
0.0571,0.0909,0.1761,0,897,16216
0.0684,0.0753,0.1920,1,942,16364
0.0569,0.0633,0.2029,2,979,16513
0.0577,0.0714,0.2115,0,895,16693
0.0538,0.0764,0.2071,1,941,16840
0.0608,0.0856,0.1971,2,985,16989
0.0590,0.0685,0.1823,0,901,17169
0.0635,0.0634,0.1878,1,941,17315
0.0676,0.0687,0.1836,2,985,17465
0.0694,0.0786,0.1915,0,897,17645
0.0763,0.0721,0.1986,1,939,17793
0.0759,0.0701,0.1992,2,984,17940
0.0772,0.0567,0.1862,0,902,18121
0.0779,0.0571,0.1879,1,938,18270
0.0829,0.0606,0.1848,2,986,18419
0.0820,0.0472,0.1716,0,907,18597
0.0750,0.0568,0.1585,1,944,18746
0.0640,0.0444,0.1709,2,983,18894
0.0691,0.0699,0.1954,0,898,19074
0.0605,0.0816,0.1855,1,945,19221
0.0539,0.0748,0.1912,2,983,19369
0.0531,0.0711,0.1877,0,900,19550
0.0523,0.0730,0.1877,1,944,19698
0.0681,0.0911,0.1709,2,991,19848
0.0656,0.0615,0.1429,0,910,20026
0.0875,0.0336,0.1698,1,936,20173
0.0824,0.0290,0.1764,2,982,20323
0.0890,0.0734,0.2161,0,893,20502
0.0875,0.0786,0.2116,1,936,20652
0.0698,0.0585,0.2314,2,975,20799
0.0691,0.0453,0.2200,0,898,20979
-3.2755,4.5202,-4.3786,1,3042,21127
-2.2636,0.3897,-0.1273,2,985,21275
-1.6584,0.8426,0.4275,0,902,21455
-0.6974,0.0139,0.9740,1,942,21603
-0.3703,0.6494,0.5554,2,981,21750
-0.5334,0.2532,0.1568,0,900,21932
-0.2760,-0.0169,0.4131,1,938,22079
-0.1063,0.2118,0.1924,2,984,22227
-0.1157,0.1531,0.1369,0,898,22408
-0.0284,0.0452,0.2448,1,940,22555
0.0167,0.0976,0.1920,2,981,22704
0.0175,0.0934,0.1877,0,896,22884
0.0361,0.0720,0.2114,1,942,23032
0.0365,0.0726,0.2105,2,977,23182
0.0373,0.0562,0.1978,0,901,23360
0.0441,0.0453,0.2062,1,937,23510
0.0571,0.0606,0.1920,2,981,23658
0.0602,0.0694,0.2008,0,897,23836
0.0666,0.0614,0.2062,1,937,23984
0.0600,0.0559,0.2105,2,977,24132
0.0617,0.0729,0.2245,0,892,24312
0.0475,0.0914,0.2049,1,945,24461
0.0507,0.0957,0.2005,2,985,24609
0.0503,0.0767,0.1838,0,899,24790
0.0618,0.0603,0.2008,1,938,24937
0.0674,0.0680,0.1945,2,983,25085
0.0107,-0.4306,-0.2590,0,1096,25266
0.0410,-0.4596,-0.2080,1,943,25414
0.0436,-0.4576,-0.2151,2,981,25563
0.0989,0.0596,0.2412,0,890,25742
0.0717,0.0989,0.2006,1,944,25890
0.0640,0.0883,0.2114,2,983,26040
0.0602,0.0472,0.1747,0,907,26218
0.0603,0.0473,0.1749,1,941,26365
0.0642,0.0518,0.1701,2,985,26514
0.0679,0.0629,0.1800,0,902,26694
0.0668,0.0644,0.1769,1,943,26842
0.0660,0.0640,0.1747,2,986,26990
0.0706,0.0887,0.1977,0,893,27170
0.0591,0.1053,0.1811,1,950,27319
0.0420,0.0862,0.2000,2,982,27466
0.0407,0.0711,0.1877,0,900,27646
0.0347,0.0771,0.1800,1,949,27795
0.0370,0.0781,0.1777,2,983,27943
0.0360,0.0678,0.1669,0,905,28123
0.0474,0.0547,0.1802,1,943,28272
0.0541,0.0653,0.1701,2,985,28421
0.0593,0.0993,0.2015,0,890,28599
0.0558,0.1043,0.1952,1,948,28747
0.0383,0.0847,0.2151,2,978,28897
0.0386,0.0725,0.2038,0,897,29076
0.0441,0.0624,0.2115,1,939,29223
0.0501,0.0700,0.2029,2,979,29373
-0.0112,-0.4293,-0.2469,0,1094,29552
0.0280,-0.4658,-0.1847,1,939,29700
0.0487,-0.4493,-0.2109,2,982,29848
0.0984,0.0269,0.2095,0,904,30028
0.0796,0.0560,0.1793,1,939,30177
0.0777,0.0552,0.1802,2,985,30324
0.0803,0.0598,0.1831,0,902,30504
0.0733,0.0677,0.1737,1,943,30653
0.0569,0.0498,0.1928,2,979,30801
0.0605,0.0689,0.2092,0,896,30981
0.0555,0.0753,0.2017,1,942,31129
0.0466,0.0659,0.2105,2,977,31277
0.0469,0.0556,0.2032,0,900,31457
0.0442,0.0602,0.1975,1,941,31604
0.0450,0.0612,0.1983,2,978,31753
0.0463,0.0567,0.1924,0,902,31933
0.0442,0.0612,0.1899,1,943,32081
0.0417,0.0579,0.1916,2,978,32231
0.0461,0.0795,0.2130,0,893,32409
0.0426,0.0860,0.2071,1,944,32559
0.0542,0.0999,0.1929,2,987,32707
0.0531,0.0803,0.1754,0,900,32886
0.0635,0.0667,0.1910,1,941,33035
0.0658,0.0701,0.1891,2,984,33183
0.0645,0.0604,0.1808,0,903,33362
0.0683,0.0581,0.1835,1,940,33510
0.0817,0.0741,0.1675,2,991,33658
0.0837,0.0778,0.1700,0,901,33839
0.0847,0.0763,0.1715,1,944,33986
0.0672,0.0539,0.1920,2,981,34134
0.0688,0.0613,0.1993,0,899,34315
0.0683,0.0603,0.1976,1,938,34462
0.0744,0.0687,0.1903,2,985,34612
0.0747,0.0649,0.1877,0,900,34791
0.0654,0.0773,0.1736,1,946,34940
0.0573,0.0680,0.1844,2,983,35089
0.0599,0.0761,0.1892,0,898,35267
0.0572,0.0784,0.1855,1,945,35416
0.0557,0.0768,0.1891,2,984,35564
0.0577,0.0837,0.1961,0,895,35743
0.0635,0.0764,0.2039,1,941,35892
0.0569,0.0700,0.2096,2,979,36039
0.0565,0.0613,0.2023,0,899,36219
0.0570,0.0624,0.2018,1,939,36368
0.0533,0.0592,0.2071,2,977,36515
0.0528,0.0531,0.2009,0,901,36696
0.0378,0.0729,0.1811,1,947,36844
0.0422,0.0768,0.1756,2,984,36992
0.0458,0.0954,0.1923,0,894,37173
0.0428,0.0988,0.1876,1,950,37321
0.0423,0.0978,0.1882,2,986,37471
-0.0235,-0.4105,-0.2801,0,1097,37649
0.0280,-0.4596,-0.1983,1,943,37796
0.0509,-0.4418,-0.2303,2,987,37947
0.1027,0.0489,0.2085,0,899,38125
0.0706,0.0944,0.1594,1,951,38273
0.0559,0.0775,0.1781,2,986,38422
0.0586,0.0974,0.1969,0,892,38601
0.0558,0.1010,0.1920,1,948,38749
0.0507,0.0957,0.1971,2,985,38897
0.0478,0.0596,0.1623,0,907,39077
0.0634,0.0389,0.1837,1,937,39225
0.0744,0.0485,0.1734,2,985,39373
0.0798,0.0826,0.2038,0,893,39554
0.0858,0.0732,0.2137,1,935,39701
0.0788,0.0653,0.2210,2,980,39849
0.0806,0.0749,0.2290,0,890,40030
0.0794,0.0796,0.2266,1,935,40179
0.0755,0.0754,0.2277,2,980,40327
0.0735,0.0393,0.1971,0,904,40506
0.0509,0.0706,0.1638,1,949,40653
0.0473,0.0687,0.1667,2,985,40803
0.0503,0.0828,0.1777,0,899,40983
0.0714,0.0561,0.2051,1,936,41131
0.0829,0.0674,0.1916,2,986,41279
0.0859,0.0826,0.2038,0,893,41459
0.0782,0.0957,0.1909,1,944,41606
0.0533,0.0693,0.2172,2,977,41754
0.0522,0.0480,0.1963,0,903,41935
0.0490,0.0517,0.1932,1,940,42083
0.0644,0.0694,0.1726,2,987,42231
0.0651,0.0716,0.1761,0,901,42412
0.0731,0.0592,0.1889,1,939,42560
0.0726,0.0599,0.1891,2,984,42708
0.0744,0.0593,0.1885,0,901,42888
0.0747,0.0571,0.1911,1,938,43035
0.0687,0.0519,0.1975,2,980,43184
0.0737,0.0734,0.2161,0,893,43364
0.0683,0.0807,0.2093,1,940,43511
0.0692,0.0836,0.2059,2,984,43661
0.0697,0.0750,0.2000,0,896,43840
0.0574,0.0934,0.1800,1,949,43988
0.0507,0.0856,0.1869,2,985,44138
0.0490,0.0697,0.1715,0,903,44316
0.0477,0.0739,0.1670,1,949,44464
0.0598,0.0904,0.1510,2,994,44612
0.0630,0.1007,0.1615,0,898,44792
0.0751,0.0870,0.1768,1,946,44942
0.0589,0.0694,0.1966,2,982,45089
0.0586,0.0598,0.1862,0,902,45270
0.0508,0.0729,0.1746,1,947,45416
0.0542,0.0762,0.1692,2,987,45564
0.0540,0.0627,0.1592,0,907,45746
0.0541,0.0632,0.1617,1,947,45893
0.0560,0.0680,0.1569,2,988,46041
0.0608,0.0959,0.1839,0,895,46222
0.0779,0.0732,0.2040,1,938,46369
0.0793,0.0734,0.2026,2,984,46519
0.0806,0.0593,0.1885,0,901,46698
0.0858,0.0540,0.1945,1,935,46845
0.0734,0.0425,0.2071,2,977,46995
0.0733,0.0336,0.1980,0,905,47174
0.0650,0.0442,0.1847,1,938,47323
0.0654,0.0418,0.1840,2,980,47471
0.0697,0.0689,0.2061,0,896,47650
0.0761,0.0593,0.2149,1,933,47799
0.0824,0.0660,0.2101,2,982,47947
0.0840,0.0556,0.2001,0,900,48126
0.0513,0.0996,0.1539,1,955,48274
0.0266,0.0700,0.1828,2,979,48422
0.0257,0.0540,0.1662,0,908,48603
0.0393,0.0355,0.1835,1,940,48751
3.7193,4.1968,-4.2111,2,3042,48900
1.7093,3.0935,-0.3720,0,893,49079
1.6352,0.9256,0.7590,1,939,49227
0.7224,0.1435,1.1701,2,982,49377
0.8140,-0.3829,0.9115,0,897,49556
0.4608,0.3627,0.2683,1,938,49704
0.2661,0.1561,0.4484,2,988,49853
0.2628,-0.0449,0.2830,0,903,50032
0.1627,0.1032,0.1314,1,946,50180
0.1063,0.0397,0.1958,2,984,50329
0.1097,0.0596,0.2123,0,896,50508
0.0957,0.0785,0.1921,1,939,50656
0.0861,0.0667,0.2026,2,984,50803
0.0881,0.0689,0.2030,0,896,50984
0.0703,0.0924,0.1779,1,947,51132
0.0626,0.0843,0.1882,2,986,51279
0.0630,0.0792,0.1831,0,898,51461
0.0621,0.0805,0.1801,1,946,51609
0.0557,0.0734,0.1857,2,984,51758
0.0549,0.0610,0.1754,0,904,51937
0.0713,0.0390,0.1967,1,934,52085
0.0755,0.0418,0.1941,2,980,52234
0.0784,0.0576,0.2077,0,898,52413
0.0495,0.0965,0.1702,1,952,52561
