X,Y,Z,ID,TOF,TIME
0.8757,7.3301,1.9588,0,2710,74
1.2499,2.1545,2.1199,1,1195,223
0.7778,1.5032,2.1436,1,1235,699
0.7778,1.5032,2.1436,2,1235,847
1.3627,0.3998,1.9972,0,645,1027
1.2265,2.1714,1.8085,1,1206,1176
0.7405,1.4907,1.8870,2,1229,1325
1.2316,0.4666,1.4432,0,651,1504
1.0362,1.9604,0.9440,1,1206,1653
0.6565,1.4181,1.1285,1,1238,2127
0.6622,1.4262,1.1257,0,1241,2456
0.5498,1.8556,0.9845,1,1199,2605
0.3998,1.6050,1.0689,2,1247,2753
0.4397,1.1587,0.3457,0,656,2932
0.3493,1.4168,0.1883,1,1198,3080
0.2663,1.2815,0.2744,0,1241,3408
0.2293,1.3757,0.2181,1,1195,3558
0.1833,1.2972,0.2687,0,1234,3885
0.1561,1.3675,0.2294,1,1198,4034
0.1342,1.3332,0.2537,2,1238,4183
0.1378,1.3434,0.2740,0,650,4361
0.1404,1.3413,0.2764,1,1187,4509
0.1369,1.3390,0.2766,0,1237,4838
0.1244,1.3689,0.2598,1,1197,4985
0.1246,1.3756,0.2579,0,1246,5314
0.1297,1.3661,0.2615,1,1196,5462
0.1170,1.3422,0.2755,2,1235,5609
0.1187,1.3480,0.2854,0,647,5790
0.1109,1.3716,0.2705,1,1198,5939
0.1044,1.3629,0.2750,2,1238,6089
0.1054,1.3658,0.2765,0,647,6266
0.1039,1.3689,0.2763,1,1197,6416
0.1075,1.3805,0.2712,2,1243,6565
0.1059,1.3739,0.2545,0,652,6743
0.1085,1.3730,0.2549,1,1200,6890
0.1075,1.3719,0.2584,0,1243,7219
0.1037,1.3840,0.2524,1,1204,7367
0.1033,1.3842,0.2536,2,1246,7516
0.1015,1.3740,0.2315,0,658,7695
0.1025,1.3744,0.2300,1,1205,7842
0.0889,1.3528,0.2436,0,1239,8171
0.0843,1.3648,0.2375,1,1203,8321
