X,Y,Z,ID,TOF,TIME
4.2512,7.6594,3.5649,0,2933,337
2.7980,2.5157,2.8572,1,1358,487
2.3804,2.1023,2.8000,2,1681,635
1.9508,2.1531,2.6855,0,491,814
2.0536,3.2045,2.7971,1,1513,962
1.6885,2.7077,2.7423,2,1681,1111
1.9057,2.7661,2.8202,0,503,1290
1.8995,2.6855,2.8068,1,1360,1438
1.8285,2.5928,2.7936,2,1679,1586
1.9081,2.6060,2.8219,0,494,1767
1.9135,2.6808,2.8301,1,1360,1914
1.8384,2.5866,2.8173,2,1681,2063
1.9094,2.5969,2.8429,0,496,2243
1.9149,2.6978,2.8557,1,1365,2391
1.8432,2.6059,2.8421,2,1686,2539
1.8880,2.6139,2.8597,0,493,2719
1.8889,2.6639,2.8651,1,1355,2868
1.8432,2.6001,2.8536,2,1686,3017
1.8989,2.6093,2.8748,0,497,3195
1.9039,2.6728,2.8809,1,1359,3344
1.8369,2.5920,2.8699,2,1683,3493
1.8764,2.5982,2.8854,0,492,3672
1.8804,2.6694,2.8944,1,1358,3819
4.6688,6.2523,3.3849,2,3042,3968
1.5500,3.4375,2.5717,0,487,4148
1.5450,2.7240,2.5267,1,1359,4296
1.5905,2.7942,2.5290,2,1681,4445
1.9040,2.9077,2.5969,0,497,4624
1.8845,2.6952,2.5772,1,1356,4771
1.8248,2.6185,2.5692,2,1680,4920
1.9739,2.6451,2.6003,0,497,5101
1.9798,2.7097,2.6023,1,1363,5250
1.8767,2.5782,2.5922,2,1680,5397
1.9576,2.5904,2.6089,0,490,5577
1.9657,2.7097,2.6163,1,1363,5726
1.8673,2.5866,2.6039,2,1681,5875
1.9657,2.6009,2.6254,0,494,6053
1.9735,2.6927,2.6290,1,1358,6201
1.8916,2.5912,2.6168,2,1687,6349
1.9574,2.6016,2.6306,0,492,6530
1.9642,2.6927,2.6383,1,1358,6677
1.8815,2.5916,2.6279,2,1685,6828
1.9475,2.6022,2.6426,0,490,7006
1.9549,2.6927,2.6476,1,1358,7154
1.8736,2.5889,2.6392,2,1684,7303
1.9507,2.5999,2.6576,0,492,7482
1.9534,2.6710,2.6600,1,1353,7630
1.8958,2.5965,2.6519,2,1689,7779
1.9687,2.6082,2.6694,0,498,7958
1.9745,2.6982,2.6765,1,1361,8108
1.8964,2.6046,2.6642,2,1692,8256
1.9734,2.6167,2.6839,0,501,8435
1.9782,2.6880,2.6895,1,1358,8582
1.9016,2.5908,2.6751,2,1689,8730
1.9374,2.5955,2.6846,0,490,8911
1.9538,2.7832,2.6986,1,1386,9059
4.4261,5.9805,2.9906,2,2926,9208
1.5853,3.4527,2.4792,0,493,9388
1.5779,2.7664,2.4491,1,1370,9535
3.4961,5.5191,2.5581,2,2651,9684
1.5107,3.5234,2.3681,0,488,9864
1.5169,2.7424,2.3499,1,1363,10011
