X,Y,Z,ID,TOF,TIME
7.0293,6.8240,3.4229,1,3034,355
-1.6262,-1.8579,2.2673,2,29,502
-1.5405,-1.6750,2.2649,0,1292,681
-2.0660,-1.6343,2.2651,1,1057,829
-4.3414,0.1701,2.3087,2,985,976
-7.4249,-1.2529,2.3415,0,2494,1158
-2.0731,-1.6558,2.2833,1,1058,1305
-4.4181,0.0371,2.4397,2,981,1454
-0.5171,1.9282,2.2882,0,276,1634
-0.1868,1.3114,2.2801,1,1072,1781
-0.2471,1.1827,2.2786,2,1001,1930
0.2941,2.2604,2.2575,0,26,2110
0.5150,1.5222,2.2542,1,1050,2259
0.1694,0.9826,2.2580,2,1009,2409
-0.0838,-1.1136,2.2595,0,1015,2586
-1.7085,-0.3013,2.2688,1,1061,2736
-1.7198,1.4746,2.2784,2,993,2884
-5.5987,-0.1593,2.3204,0,1878,3062
-1.9784,-1.0562,2.2797,1,1059,3211
-2.7546,1.3404,2.3370,2,1002,3358
-5.2667,0.5320,2.3973,0,1717,3538
-1.8823,-0.6920,2.3199,1,1063,3687
-2.2062,1.4743,2.4269,2,1005,3835
-2.2660,1.4559,2.4295,0,803,4015
-1.1735,0.4848,2.3744,1,1061,4164
-0.9744,1.4096,2.4187,2,997,4312
-2.5332,0.3011,2.6100,0,1032,4492
-1.6746,-0.1671,2.5306,1,1074,4640
-1.6577,1.5151,2.7912,2,1016,4790
-0.6341,1.9392,2.5153,0,315,4968
-0.2382,1.2345,2.4653,1,1061,5117
-0.2700,1.1703,2.4598,2,997,5266
-2.3323,-2.8278,3.1507,0,1716,5444
-1.9151,-2.7301,3.0528,1,1063,5593
-2.3549,-4.3450,4.6507,2,1011,5741
0.1895,1.9808,2.3846,0,119,5920
0.3527,1.5139,2.3673,1,1063,6069
0.0760,1.0473,2.3516,2,1011,6216
-0.4766,-1.7257,2.5553,0,1212,6396
1.4304,-1.9166,2.2645,1,34,6545
-0.7571,-1.9252,2.2599,2,274,6693
-0.6157,-1.3820,2.2560,0,1121,6873
-1.9814,-1.0400,2.2616,1,1061,7022
-2.7424,1.3276,2.2683,2,997,7171
-2.3286,1.4646,2.2644,0,818,7349
-1.1891,0.4644,2.2579,1,1060,7498
-0.9910,1.4030,2.2580,2,993,7647
-1.9415,0.7310,2.2588,0,813,7826
-1.3509,0.2795,2.2543,1,1062,7974
-1.1683,1.4574,2.2546,2,999,8123
-2.0845,0.9203,2.2560,0,818,8302
-1.3100,0.3132,2.2506,1,1059,8450
-1.1169,1.4472,2.2477,2,999,8599
-2.0303,0.8842,2.2449,0,810,8778
-1.3145,0.3232,2.2470,1,1062,8927
-1.1261,1.4336,2.2444,2,995,9074
-2.0248,0.8758,2.2393,0,810,9254
-1.3208,0.3216,2.2434,1,1063,9403
-1.1329,1.4574,2.2374,2,1001,9551
-2.0677,0.8951,2.2280,0,818,9731
-1.3245,0.3143,2.2324,1,1063,9880
-1.1375,1.4506,2.2203,2,999,10028
-2.0473,0.9001,2.2003,0,812,10207
-1.2956,0.3083,2.2108,1,1055,10355
-1.0911,1.4539,2.1893,2,1002,10503
-2.0424,0.8632,2.1467,0,817,10683
-1.3290,0.3050,2.1669,1,1062,10831
-0.4752,5.4947,1.9566,0,2197,11160
-1.0665,7.6807,1.8782,1,2906,11308
-1.1295,6.7615,1.9181,2,2541,11457
-1.3966,7.5706,1.8579,0,1612,11636
1.0684,-0.3868,2.1840,1,471,11786
-1.5972,-1.8730,2.2554,2,33,11934
-2.0803,-2.9354,2.2560,0,1692,12112
-5.3717,-3.8457,2.2614,1,2094,12261
-3.3583,-2.7948,2.2580,2,547,12409
-3.3034,-2.7200,2.2560,0,1819,12589
-3.4197,-2.7387,2.2520,1,1468,12737
-8.7377,-5.2386,2.2346,2,2271,12884
-3.7753,-1.0943,2.2506,0,1562,13065
-2.0131,-1.3728,2.2470,1,1051,13213
-1.7435,-1.8446,2.2564,2,28,13362
-0.9133,-0.1742,2.2560,0,819,13541
-1.4620,0.2146,2.2544,1,1077,13689
-1.3222,1.5121,2.2545,2,1009,13838
-2.2602,1.0429,2.2560,0,846,14017
-1.3470,0.3291,2.2507,1,1070,14167
-1.6079,-1.3553,2.2563,2,169,14316
-1.0026,-0.2038,2.2560,0,838,14493
-1.5279,0.1503,2.2544,1,1082,14643
-1.4315,1.3653,2.2547,2,964,14790
-2.2111,0.9351,2.2560,0,848,14969
-1.4354,0.3439,2.2507,1,1093,15118
-1.3243,1.3383,2.2481,2,959,15265
-2.2262,0.7919,2.2440,0,873,15447
-1.4537,0.2314,2.2470,1,1078,15595
-1.3255,1.3860,2.2413,2,973,15744
