X,Y,Z,ID,TOF,TIME
-2.7059,3.4391,-1.1399,0,2229,398
-0.2648,0.3571,0.8050,1,949,547
-0.1230,0.5847,0.6615,2,982,695
-0.2507,0.0939,0.2141,0,902,874
-0.1947,0.0317,0.2775,1,957,1024
-0.0913,0.1676,0.1421,2,987,1173
-0.0877,0.1732,0.1473,0,891,1351
-0.0289,0.0975,0.2215,1,954,1500
-0.0102,0.1212,0.1954,2,981,1648
-0.0106,0.1002,0.1761,0,897,1827
0.0199,0.0623,0.2147,1,942,1975
0.0422,0.0869,0.1891,2,984,2123
0.0391,0.0647,0.1700,0,905,2304
0.0427,0.0611,0.1736,1,946,2452
0.0349,0.0545,0.1815,2,978,2599
0.0383,0.0699,0.1985,0,898,2780
0.0489,0.0571,0.2104,1,938,2929
0.0571,0.0673,0.1987,2,981,3078
0.0608,0.0745,0.2053,0,895,3256
0.0492,0.0913,0.1887,1,948,3405
0.0402,0.0808,0.1987,2,981,3554
0.0420,0.0811,0.1969,0,896,3732
0.0379,0.0901,0.1898,1,949,3880
0.0247,0.0739,0.2059,2,976,4029
0.0263,0.0725,0.2038,0,897,4208
0.0280,0.0677,0.2060,1,943,4357
0.0386,0.0828,0.1899,2,982,4505
0.0393,0.0867,0.1931,0,895,4685
0.0347,0.0944,0.1855,1,951,4833
0.0284,0.0855,0.1941,2,980,4982
0.0315,0.0968,0.2053,0,891,5161
0.0186,0.1170,0.1856,1,957,5310
0.0152,0.1139,0.1891,2,984,5458
0.0140,0.1002,0.1761,0,897,5638
0.0105,0.1027,0.1736,1,958,5786
0.0102,0.1025,0.1734,2,985,5935
0.0102,0.0982,0.1684,0,899,6114
0.0249,0.0804,0.1865,1,949,6261
0.0356,0.0910,0.1747,2,986,6410
0.0373,0.0840,0.1669,0,901,6590
0.0491,0.0665,0.1844,1,944,6737
0.0434,0.0599,0.1895,2,979,6885
0.0461,0.0826,0.2099,0,893,7066
0.0316,0.1052,0.1877,1,953,7215
0.0322,0.1080,0.1848,2,986,7363
0.0325,0.0971,0.1761,0,897,7542
0.0396,0.0890,0.1844,1,950,7692
0.0282,0.0747,0.1983,2,978,7840
0.0277,0.0629,0.1862,0,902,8018
0.0361,0.0559,0.1953,1,942,8167
0.0418,0.0653,0.1874,2,980,8316
0.0448,0.0755,0.1977,0,897,8495
0.0363,0.0890,0.1844,1,950,8643
