X,Y,Z,ID,TOF,TIME
0.9952,-0.6099,3.4710,1,549,424
0.8410,-0.6870,3.4015,0,889,752
0.6083,-0.2748,3.7853,1,713,901
0.4940,-0.3567,3.7099,1,893,1378
0.4842,-0.3637,3.7034,0,889,1705
0.4439,-0.3037,3.7597,1,723,1854
0.4089,-0.3319,3.7330,2,883,2003
0.3886,0.3525,3.3544,1,663,2329
0.2403,0.1912,3.2764,0,889,2658
0.3447,0.0212,3.1943,1,723,2806
0.3723,0.0468,3.2047,0,879,3134
0.3721,0.0467,3.2032,1,726,3281
0.3793,0.0535,3.2049,1,882,3760
0.4005,0.0738,3.2146,0,891,4086
0.4054,0.0669,3.2095,1,727,4236
0.4073,0.0685,3.2104,2,890,4384
0.4003,0.2329,3.1414,0,667,4562
0.4503,0.1392,3.1023,1,727,4711
0.4283,0.1196,3.0930,2,895,4859
0.4242,0.1808,3.0698,0,674,5039
0.4571,0.1202,3.0452,1,716,5187
0.4529,0.1165,3.0439,2,895,5337
0.4482,0.1904,3.0167,0,666,5516
0.4688,0.1530,3.0031,1,718,5663
0.4402,0.1257,2.9915,0,891,5992
0.4266,0.1501,3.0009,1,723,6140
0.4385,0.1603,3.0034,0,898,6468
0.4430,0.1547,2.9998,1,722,6618
1.1694,0.8632,3.2516,0,1202,6944
1.2320,0.4081,3.0858,1,730,7092
1.4550,0.5829,3.1459,2,1204,7240
1.5099,0.4952,3.1891,0,694,7420
1.5116,0.4638,3.1770,1,749,7569
1.5990,0.5274,3.1988,0,1230,7897
1.5971,0.4983,3.1868,1,759,8045
1.5835,0.4867,3.1813,2,1218,8195
1.5977,0.4641,3.1915,0,714,8373
1.5964,0.4618,3.1911,1,750,8521
0.7447,-0.1564,2.9487,0,903,8850
0.5853,0.1973,3.0877,1,723,8998
0.4526,0.0716,3.0390,2,886,9147
0.4474,0.1544,3.0085,0,675,9326
0.4586,0.1345,2.9999,1,715,9474
0.4199,0.0973,2.9854,0,880,9802
0.4104,0.1153,2.9911,1,716,9950
0.4024,0.1071,2.9876,2,879,10098
0.4019,0.1168,2.9846,0,683,10278
0.4046,0.1124,2.9827,1,715,10426
0.4048,0.1124,2.9824,0,880,10755
0.4046,0.1124,2.9827,1,715,10904
0.4072,0.1148,2.9832,0,881,11231
0.4039,0.1206,2.9848,1,717,11379
0.3940,0.1108,2.9808,0,878,11707
0.3916,0.1132,2.9823,1,717,11855
0.4005,0.1231,2.9841,0,882,12183
0.3943,0.1377,2.9885,1,723,12332
0.3583,0.1025,2.9755,0,868,12659
0.3456,0.1267,2.9826,1,727,12808
0.3047,0.0873,2.9669,0,854,13136
0.2940,0.1046,2.9736,1,728,13285
0.2575,0.0658,2.9581,2,840,13433
0.1032,-4.5487,4.3767,0,2103,13613
0.5702,-3.7011,3.6893,1,725,13761
0.3280,-3.5099,3.5356,0,837,14089
