X,Y,Z,ID,TOF,TIME
-4.1537,3.8858,-2.7993,0,2797,368
-0.3600,0.0155,0.5601,0,935,844
-0.3661,0.0217,0.5547,0,938,1320
-0.3702,0.0259,0.5511,0,940,1797
-0.3620,0.0176,0.5583,0,936,2273
-0.3600,0.0155,0.5601,1,935,2422
2.8035,4.6204,-3.4669,2,2858,2571
1.5168,3.4306,-0.4848,0,927,2749
1.5321,0.9476,0.7801,1,942,2897
4.3434,3.4527,-0.5051,2,2494,3046
2.9005,3.0504,0.4895,0,933,3225
2.3420,1.0063,1.2121,1,937,3374
4.3516,2.4681,0.6907,2,2229,3521
3.3262,2.4332,1.0926,0,937,3702
2.7207,0.9520,1.4845,1,934,3850
4.1602,1.8912,1.2325,2,2062,3998
3.3931,1.9827,1.4394,0,930,4178
2.8920,0.9199,1.6601,1,935,4326
-1.6005,-1.8687,2.2455,2,33,4474
-0.9947,-0.5533,2.2496,0,929,4655
-1.2830,-0.3966,2.2470,1,938,4803
-0.8515,1.2065,2.2385,2,947,4953
-1.9864,0.1192,2.2239,0,937,5131
-1.2291,-0.3213,2.2310,1,935,5279
0.2687,4.8321,2.1453,2,2053,5429
0.2504,5.5475,2.1146,0,937,5607
1.0027,1.2141,2.1928,1,930,5754
0.2332,0.3183,2.2136,2,864,5903
0.1782,-0.8333,2.1924,0,927,6083
-0.9485,0.0668,2.1479,1,932,6232
-0.6204,0.9455,2.1013,2,896,6379
-1.4722,-0.2986,1.9635,0,937,6559
-1.2704,-0.4078,1.9835,1,937,6707
-0.3762,2.7934,1.4064,2,1452,6855
-1.5515,3.5419,-0.0015,0,927,7036
0.0633,0.6930,1.1717,1,933,7185
-0.0800,0.4791,1.2614,2,894,7332
-0.2818,-0.4341,0.7743,0,935,7513
-0.5611,-0.2040,0.5487,1,936,7660
-0.1639,0.4010,-0.0493,2,1056,7810
-0.1887,0.3035,-0.1653,0,935,7989
0.0553,-0.0099,0.1723,1,932,8136
-1.6474,-1.8747,2.2000,2,27,8285
-1.0217,-0.5437,2.2177,0,930,8465
-1.2832,-0.4046,2.2149,1,937,8612
-1.6674,-1.8222,2.2550,2,32,8760
-1.0457,-0.5310,2.2560,0,929,8941
-1.2681,-0.4127,2.2566,1,932,9090
-0.8687,1.0087,2.2580,2,890,9237
-1.8193,-0.0447,2.2592,0,937,9417
-1.2515,-0.3630,2.2566,1,935,9566
0.8079,6.8861,2.2580,2,2674,9714
0.6629,5.5142,2.2560,0,931,9893
1.1682,1.2702,2.2502,1,939,10042
4.8265,5.3475,2.2482,2,2851,10190
2.9902,4.1193,2.2528,0,933,10370
2.2874,1.1826,2.2470,1,933,10518
3.9908,2.5103,2.2436,2,2104,10668
3.5244,2.4871,2.2464,0,932,10847
2.8609,1.0062,2.2470,1,938,10994
4.1500,1.8371,2.2441,2,2029,11143
3.5224,1.9217,2.2464,0,938,11323
2.9980,0.9048,2.2470,1,929,11470
0.1449,-0.8183,2.2537,2,627,11620
0.1450,-0.8572,2.2560,0,934,11799
-1.0177,0.0312,2.2631,1,941,11948
-1.6590,-1.8211,2.2582,2,33,12095
-1.0601,-0.5743,2.2560,0,943,12275
-1.2753,-0.4622,2.2565,1,927,12423
-0.8886,0.8936,2.2580,2,856,12571
-1.7345,-0.1070,2.2592,0,935,12751
-7.5744,3.1325,2.2783,1,3042,12900
-4.2691,0.2882,2.2648,2,991,13047
-2.5940,1.0347,2.2592,0,935,13228
-1.0484,-0.0715,2.2534,1,930,13375
-1.6599,-1.8244,2.2578,2,32,13522
-1.0334,-0.5186,2.2560,0,925,13704
-1.2706,-0.3902,2.2566,1,936,13852
