X,Y,Z,ID,TOF,TIME
-2.8218,3.0061,-3.8756,2,2625,380
-2.6531,2.9702,-3.5540,0,1914,560
0.3489,-0.5313,0.5927,1,722,709
0.1719,-0.6518,0.7364,2,795,858
0.0177,-3.5242,-0.7222,0,1921,1036
0.5261,-2.9939,0.2636,1,721,1185
0.2344,-2.8546,0.5234,2,804,1334
0.2159,-3.8804,0.1825,0,1913,1513
0.4989,-3.4662,0.6198,1,721,1660
0.2049,-3.2597,0.8391,2,794,1809
0.1903,-3.9883,0.6560,0,1904,1989
0.4034,-3.6665,0.9048,1,722,2137
0.1899,-3.4909,1.0427,2,798,2285
0.1764,-4.0806,0.9233,0,1914,2465
0.3727,-3.7726,1.1141,1,718,2614
0.1875,-3.6092,1.2165,2,797,2762
0.1764,-4.1200,1.1268,0,1914,2941
0.3473,-3.8493,1.2666,1,720,3090
0.1817,-3.6935,1.3465,2,798,3239
0.1766,-4.1395,1.2788,0,1912,3418
0.3292,-3.8911,1.3888,1,719,3566
0.1793,-3.7459,1.4543,2,797,3716
0.1702,-4.1523,1.4043,0,1910,3894
0.3051,-3.9342,1.4882,1,723,4042
0.1867,-3.8162,1.5337,2,806,4191
0.1823,-4.2031,1.4909,0,1923,4370
0.3284,-3.9598,1.5722,1,718,4517
0.2052,-3.8347,1.6150,2,808,4666
0.2022,-4.2095,1.5773,0,1921,4846
0.3308,-3.9930,1.6411,1,721,4995
0.1883,-3.8453,1.6858,2,802,5142
0.1833,-4.1785,1.6598,0,1910,5323
-3.7242,-10.6404,-0.0172,1,3042,5473
-2.2962,-4.5124,1.5838,2,799,5620
-1.9983,-3.7462,1.6598,0,1910,5799
-0.6343,-3.0449,1.8879,1,722,5948
0.1466,-3.8670,1.6163,2,803,6096
0.1370,-4.1856,1.5864,0,1914,6276
-3.8077,-10.5152,-0.2572,1,3042,6424
-2.3267,-4.5005,1.5061,2,803,6573
-2.0331,-3.7553,1.5919,0,1917,6752
-0.6233,-3.0344,1.8519,1,720,6899
0.1461,-3.8276,1.5628,2,798,7048
0.1379,-4.1518,1.5303,0,1906,7228
0.2732,-3.9407,1.6000,1,720,7375
0.1676,-3.8354,1.6359,2,799,7525
0.1633,-4.1856,1.6061,0,1914,7704
0.2912,-3.9757,1.6658,1,721,7854
0.1563,-3.8374,1.7058,0,793,8180
0.1338,-3.8686,1.6978,1,718,8329
0.1429,-3.8793,1.6962,0,799,8656
0.1384,-3.8869,1.6947,1,722,8805
0.1622,-3.9142,1.6877,2,811,8954
0.3308,2.2206,2.2452,0,35,9133
0.8449,0.4699,2.2470,1,729,9280
0.3288,-0.0174,2.2497,0,812,9610
0.2047,0.1799,2.2495,1,729,9757
0.1512,0.1208,2.2525,2,805,9906
0.1360,-0.0651,2.2536,0,704,10086
0.0434,0.0567,2.2520,1,726,10234
0.1417,0.1690,2.2524,2,813,10383
0.1197,-0.0856,2.2536,0,710,10562
0.0172,0.0474,2.2520,1,729,10712
0.1373,0.1851,2.2524,2,816,10859
0.1120,-0.1138,2.2535,0,719,11038
0.0078,0.0189,2.2520,1,724,11186
0.1389,0.1690,2.2524,2,813,11334
0.1176,-0.0797,2.2536,0,709,11514
0.0277,0.0363,2.2520,1,724,11663
0.1349,0.1585,2.2525,0,810,11991
0.1530,0.1339,2.2520,1,726,12138
1.2118,1.3155,2.2493,2,1271,12289
1.9593,0.4421,2.2460,0,729,12467
1.9698,0.5046,2.2470,1,720,12616
0.6526,-0.3717,2.2524,2,822,12765
0.6213,-0.1191,2.2535,0,722,12943
0.4191,0.2791,2.2544,1,723,13092
0.2451,0.0974,2.2552,0,819,13420
0.2170,0.1403,2.2544,1,717,13568
0.2091,0.1314,2.2552,2,818,13716
-0.0409,-4.3420,2.2560,0,1952,13896
0.1911,-3.9873,2.2544,1,719,14044
0.1863,-3.9832,2.2552,2,813,14192
0.1808,-4.3144,2.2560,0,1942,14372
0.3252,-4.0627,2.2544,1,717,14521
0.2245,-3.9575,2.2552,0,815,14849
0.2028,-3.9918,2.2544,1,718,14996
0.1988,-3.9852,2.2552,2,816,15145
0.1931,-4.3624,2.2560,0,1956,15325
0.3439,-4.0924,2.2544,1,722,15474
0.2377,-3.9802,2.2552,2,823,15623
0.2338,-4.3350,2.2560,0,1948,15801
0.3613,-4.1023,2.2544,1,722,15949
0.2504,-3.9849,2.2552,0,826,16277
0.2184,-4.0376,2.2545,1,727,16425
0.2056,-4.0220,2.2552,2,825,16573
0.2843,-0.1408,2.2560,0,724,16753
0.1186,0.0953,2.2569,1,722,16902
0.1914,0.1773,2.2580,2,825,17050
0.1737,-0.1188,2.2560,0,719,17230
0.0637,0.0242,2.2544,1,715,17378
0.1810,0.1539,2.2552,2,818,17525
0.1669,-0.0743,2.2560,0,706,17707
0.0384,0.0994,2.2546,1,737,17855
0.1478,0.2250,2.2552,2,827,18004
0.1221,-0.0856,2.2560,0,710,18183
0.0319,0.0309,2.2544,1,722,18331
0.1677,0.1838,2.2552,2,822,18480
0.1489,-0.0880,2.2560,0,710,18659
0.0554,0.0351,2.2544,1,719,18806
0.1835,0.1804,2.2552,2,824,18954
-0.1299,-4.3626,2.2560,0,1960,19135
0.1453,-3.9633,2.2544,1,721,19283
0.2022,-4.0274,2.2552,2,826,19432
0.2857,-0.0723,2.2560,0,704,19611
0.1499,0.1285,2.2569,1,725,19761
