X,Y,Z,ID,TOF,TIME
1.5260,-1.7861,2.2313,0,42,283
1.0030,2.1161,1.7995,1,1197,431
0.6480,1.5880,1.8631,2,1238,580
1.1041,0.4958,1.2929,0,647,759
0.8600,1.8558,0.7574,1,1203,908
0.5606,1.4166,0.9321,0,1239,1235
0.4457,1.8071,0.7813,1,1214,1384
0.3078,1.5681,0.8766,2,1243,1532
0.2980,1.2420,0.2939,0,656,1712
0.2370,1.4019,0.1962,1,1203,1861
0.1900,1.3234,0.2440,0,1244,2188
0.1588,1.4005,0.1968,1,1210,2335
0.1288,1.3464,0.2328,2,1243,2484
0.1312,1.3507,0.2436,0,657,2664
0.1226,1.3703,0.2309,1,1202,2812
0.1043,1.3380,0.2544,0,1235,3140
0.0938,1.3620,0.2392,1,1202,3289
0.0759,1.3332,0.2583,2,1230,3438
0.0775,1.3342,0.2602,0,656,3616
0.0690,1.3579,0.2474,1,1202,3766
0.0648,1.3523,0.2517,0,1234,4093
0.0674,1.3524,0.2549,1,1200,4242
0.0619,1.3470,0.2592,0,1232,4570
0.0616,1.3470,0.2623,1,1198,4718
0.0833,1.3911,0.2349,0,1247,5046
0.1058,1.3428,0.2641,1,1192,5193
0.1131,1.3581,0.2531,0,1241,5522
0.1097,1.3662,0.2483,1,1199,5670
