X,Y,Z,ID,TOF,TIME
-0.4720,-0.8373,-2.1706,0,1452,486
0.2461,-1.2257,-0.5977,1,935,634
0.1618,-1.2570,-0.4731,2,983,784
0.2171,-0.1091,0.4008,0,897,962
0.0905,0.0668,0.2235,1,932,1111
0.1016,0.0795,0.2132,2,987,1260
0.0480,-0.4406,-0.2575,0,1097,1438
0.0778,-0.4705,-0.2058,1,936,1586
0.0721,-0.4759,-0.1992,2,980,1735
0.1220,0.0320,0.2430,0,896,1914
0.0923,0.0743,0.1997,1,937,2063
0.0788,0.0586,0.2143,2,980,2211
0.0194,-0.4723,-0.2607,0,1105,2392
0.0410,-0.4919,-0.2274,1,943,2539
0.0542,-0.4791,-0.2472,2,987,2688
0.1043,0.0274,0.2011,0,905,2868
0.0813,0.0591,0.1662,1,942,3016
0.0833,0.0619,0.1629,2,990,3164
0.0327,-0.4206,-0.2824,0,1098,3344
0.0716,-0.4579,-0.2215,1,942,3491
0.0712,-0.4587,-0.2235,0,987,3820
0.0779,-0.4673,-0.2110,1,938,3968
0.0903,-0.4547,-0.2327,2,992,4116
0.0936,-0.4581,-0.2341,0,1095,4296
0.1050,-0.4688,-0.2160,1,935,4444
0.0998,-0.4737,-0.2075,2,986,4592
0.0999,-0.4923,-0.2251,0,1101,4772
0.0909,-0.4836,-0.2388,1,940,4922
0.0739,-0.4980,-0.2151,2,981,5070
0.0770,-0.5025,-0.2198,0,1102,5249
0.0730,-0.5010,-0.2245,1,937,5397
0.0705,-0.5047,-0.2219,2,981,5545
0.0756,-0.4767,-0.1973,0,1092,5725
0.0777,-0.4799,-0.1921,1,932,5873
0.0806,-0.4778,-0.1983,2,981,6022
0.0824,-0.4844,-0.2041,0,1095,6202
0.0763,-0.4785,-0.2148,1,937,6348
0.0687,-0.4826,-0.2059,2,980,6497
0.0701,-0.4909,-0.2131,0,1099,6678
0.0635,-0.4853,-0.2254,1,941,6825
0.0515,-0.4952,-0.2092,2,976,6974
0.0538,-0.5076,-0.2205,0,1104,7154
0.0506,-0.5046,-0.2286,1,941,7303
0.0537,-0.5013,-0.2353,2,981,7452
0.0586,-0.4860,-0.2229,0,1100,7630
0.0602,-0.4883,-0.2201,1,939,7779
0.0658,-0.4835,-0.2295,2,984,7926
0.0673,-0.4694,-0.2191,0,1095,8107
0.0683,-0.4707,-0.2163,1,940,8254
0.0512,-0.4848,-0.1942,2,974,8402
0.0513,-0.4985,-0.2055,0,1099,8583
0.0601,-0.5070,-0.1927,1,931,8731
0.0649,-0.5019,-0.2025,2,976,8879
0.0644,-0.5229,-0.2197,0,1107,9059
0.0729,-0.5323,-0.2066,1,929,9206
0.0840,-0.5249,-0.2252,2,981,9354
0.0885,-0.5074,-0.2100,0,1101,9535
0.0842,-0.5024,-0.2198,1,934,9684
0.0788,-0.5061,-0.2126,2,980,9834
0.0814,-0.4985,-0.2055,0,1099,10011
0.0730,-0.4914,-0.2181,1,937,10160
0.0759,-0.4902,-0.2227,2,984,10309
0.0763,-0.5026,-0.2341,0,1105,10488
0.0810,-0.5058,-0.2283,1,936,10636
0.0827,-0.5071,-0.2295,2,984,10784
0.0859,-0.4832,-0.2101,0,1096,10964
-3.2025,2.7778,-5.7559,1,3042,11112
-2.2355,-0.2455,-0.6113,2,983,11260
-1.7486,0.2461,-0.0672,0,1096,11441
-0.7732,-0.3965,0.6188,1,940,11588
-0.4135,0.2017,-0.0202,2,984,11736
-0.5429,-0.1736,-0.4201,0,1102,11917
-0.2111,-0.4544,0.0029,1,936,12065
-0.0609,-0.3031,-0.2285,2,989,12214
-0.0742,-0.3966,-0.3143,0,1102,12393
0.0217,-0.4847,-0.1659,1,933,12542
0.0430,-0.4699,-0.1933,2,975,12691
0.0406,-0.5218,-0.2400,0,1111,12869
0.0585,-0.5374,-0.2145,1,932,13017
0.0721,-0.5297,-0.2328,2,980,13166
0.0744,-0.5346,-0.2369,0,1113,13345
0.0777,-0.5376,-0.2326,1,934,13494
0.0806,-0.5383,-0.2353,2,981,13642
0.0850,-0.5048,-0.2078,0,1100,13821
0.0747,-0.4963,-0.2271,1,938,13970
0.0633,-0.5071,-0.2118,2,977,14118
0.0673,-0.4881,-0.1966,0,1095,14299
0.0665,-0.4879,-0.1979,1,933,14446
0.0757,-0.4796,-0.2109,2,982,14596
0.0756,-0.5103,-0.2371,0,1108,14775
0.0732,-0.5078,-0.2447,1,941,14923
0.0781,-0.5032,-0.2523,2,989,15072
0.0819,-0.4745,-0.2274,0,1097,15251
0.0781,-0.4708,-0.2344,1,942,15397
0.0710,-0.4752,-0.2252,2,985,15546
0.0732,-0.4873,-0.2349,0,1102,15727
0.0795,-0.4946,-0.2245,1,937,15875
0.0829,-0.4907,-0.2311,2,986,16024
0.0839,-0.4988,-0.2379,0,1105,16203
0.0843,-0.4995,-0.2368,1,938,16351
0.0703,-0.5109,-0.2168,2,979,16500
0.0725,-0.5140,-0.2190,0,1105,16679
0.0619,-0.5031,-0.2409,1,942,16828
0.0571,-0.5081,-0.2353,2,981,16976
0.0596,-0.5180,-0.2438,0,1111,17156
0.0634,-0.5205,-0.2394,1,939,17304
0.0656,-0.5201,-0.2412,2,982,17453
0.0699,-0.4935,-0.2191,0,1100,17632
0.0777,-0.5023,-0.2049,1,932,17780
0.0951,-0.4863,-0.2319,2,989,17928
0.0974,-0.4731,-0.2191,0,1095,18108
0.1033,-0.4799,-0.2081,1,932,18255
0.1087,-0.4761,-0.2150,2,989,18404
0.1064,-0.5052,-0.2402,0,1106,18585
0.0975,-0.4967,-0.2571,1,942,18733
0.0757,-0.5133,-0.2278,2,982,18881
0.0772,-0.4999,-0.2176,0,1101,19061
0.0715,-0.4963,-0.2271,1,938,19209
0.0708,-0.4984,-0.2269,2,983,19359
0.1021,-0.1810,0.0509,0,980,19537
0.0841,-0.1602,0.0253,1,932,19686
0.0983,-0.1473,0.0101,2,987,19834
0.0697,-0.4546,-0.2667,0,1101,20014
0.0863,-0.4692,-0.2403,1,943,20161
0.0654,-0.4860,-0.2126,2,980,20310
0.0671,-0.4832,-0.2101,0,1096,20490
0.0761,-0.4942,-0.1959,1,931,20637
0.0913,-0.4820,-0.2151,2,985,20786
0.0901,-0.5180,-0.2476,0,1111,20966
0.0877,-0.5158,-0.2550,1,940,21113
0.0847,-0.5197,-0.2506,2,987,21262
0.0863,-0.5180,-0.2476,0,1111,21442
0.0907,-0.5218,-0.2411,1,936,21592
0.0969,-0.5154,-0.2514,2,990,21740
0.0982,-0.5091,-0.2469,0,1109,21918
0.0926,-0.5046,-0.2576,1,941,22067
0.0739,-0.5215,-0.2320,2,981,22216
0.0784,-0.4870,-0.2026,0,1096,22394
0.0730,-0.4818,-0.2116,1,937,22543
0.0831,-0.4742,-0.2294,2,988,22690
0.0843,-0.4861,-0.2410,0,1103,22872
0.0939,-0.4929,-0.2283,1,936,23018
0.0858,-0.4999,-0.2143,2,982,23166
0.0856,-0.5334,-0.2429,0,1114,23348
0.0780,-0.5255,-0.2550,1,940,23495
0.0780,-0.5264,-0.2574,2,987,23644
0.0805,-0.4975,-0.2296,0,1103,23824
0.0874,-0.5024,-0.2198,1,934,23972
0.0894,-0.5003,-0.2227,2,984,24122
0.1371,0.0294,0.2377,0,897,24300
0.1082,0.0700,0.1945,1,935,24449
0.1053,0.0700,0.1955,2,989,24598
0.1058,0.0643,0.1900,0,899,24776
0.1097,0.0572,0.1979,1,932,24924
0.1048,0.0518,0.2039,2,985,25073
0.0540,-0.4672,-0.2599,0,1103,25252
0.0731,-0.4883,-0.2265,1,939,25401
0.0672,-0.4946,-0.2185,2,981,25549
0.0701,-0.4909,-0.2131,0,1099,25729
0.0635,-0.4853,-0.2254,1,941,25876
3.7506,2.5378,-5.4319,2,3042,26024
1.5717,2.4103,-0.5342,0,891,26205
1.5610,0.7605,0.5239,1,932,26354
0.6933,0.0425,0.9879,2,977,26502
0.8447,-0.9401,0.4476,0,1103,26682
0.5101,-0.4657,-0.4173,1,937,26829
0.2778,-0.6211,-0.1335,2,982,26978
0.2813,-0.5901,-0.1054,0,1098,27158
