TIME 	 VAUXP[1] 	 VAUXN[1] 
0 0.5 0
2079 0.5 0
4159 0.5 0
6239 0.5 0
8319 0.5 0
10399 0.5 0
12479 0.5 0
14559 0.5 0
16639 0.5 0
18719 0.5 0
20799 0.5 0
22879 0.5 0
24959 0.5 0
27039 0.5 0
29119 0.5 0
31199 0.5 0
33279 0.5 0
35359 0.5 0
37439 0.5 0
39519 0.5 0
41599 0.5 0
43679 0.5 0
45759 0.5 0
47839 0.5 0
49919 0.5 0
51999 0.5 0
54079 0.5 0
56159 0.5 0
58239 0.5 0
60319 0.5 0
62399 0.5 0
64479 0.5 0
66559 0.5 0
68639 0.5 0
70719 0.5 0
72799 0.5 0
74879 0.5 0
76959 0.5 0
79039 0.5 0
81119 0.5 0
83199 0.5 0
85279 0.5 0
87359 0.5 0
89439 0.5 0
91519 0.5 0
93599 0.5 0
95679 0.5 0
97759 0.5 0
99839 0.5 0
101919 0.5 0
103999 0.5 0
106079 0.5 0
108159 0.5 0
110239 0.5 0
112319 0.5 0
114399 0.5 0
116479 0.5 0
118559 0.5 0
120639 0.5 0
122719 0.5 0
124799 0.5 0
126879 0.5 0
128959 0.5 0
131039 0.5 0
133119 0.5 0
135199 0.5 0
137279 0.5 0
139359 0.5 0
141439 0.5 0
143519 0.5 0
145599 0.5 0
147679 0.5 0
149759 0.5 0
151839 0.5 0
153919 0.5 0
155999 0.5 0
158079 0.5 0
160159 0.5 0
162239 0.5 0
164319 0.5 0
166399 0.5 0
168479 0.5 0
170559 0.5 0
172639 0.5 0
174719 0.5 0
176799 0.5 0
178879 0.5 0
180959 0.5 0
183039 0.5 0
185119 0.5 0
187199 0.5 0
189279 0.5 0
191359 0.5 0
193439 0.5 0
195519 0.5 0
197599 0.5 0
199679 0.5 0
201759 0.5 0
203839 0.5 0
205919 0.5 0
207999 0.5 0
210079 0.5 0
212159 0.5 0
214239 0.5 0
216319 0.5 0
218399 0.5 0
220479 0.5 0
222559 0.5 0
224639 0.5 0
226719 0.5 0
228799 0.5 0
230879 0.5 0
232959 0.5 0
235039 0.5 0
237119 0.5 0
239199 0.5 0
241279 0.5 0
243359 0.5 0
245439 0.5 0
247519 0.5 0
249599 0.5 0
251679 0.5 0
253759 0.5 0
255839 0.5 0
257919 0.5 0
259999 0.5 0
262079 0.5 0
264159 0.5 0
266239 0.5 0
268319 0.5 0
270399 0.5 0
272479 0.5 0
274559 0.5 0
276639 0.5 0
278719 0.5 0
280799 0.5 0
282879 0.5 0
284959 0.5 0
287039 0.5 0
289119 0.5 0
291199 0.5 0
293279 0.5 0
295359 0.5 0
297439 0.5 0
299519 0.5 0
301599 0.5 0
303679 0.5 0
305759 0.5 0
307839 0.5 0
309919 0.5 0
311999 0.5 0
314079 0.5 0
316159 0.5 0
318239 0.5 0
320319 0.5 0
322399 0.5 0
324479 0.5 0
326559 0.5 0
328639 0.5 0
